Timestamp,Please select your gender:,Please enter your age:,Please specify your nationality:,"When you think about your childhood, do you recall music being played regularly at home? ","In case music was played at home, it was...",Do you have any experience playing a musical instrument or singing?,"In case you do, at what age did you start?",At what age did you stop?,Is someone within your parents or relatives an amateur or professional musician?,Do you generally think of your musical experience as positive or negative?,Do you generally recall your childhood as positive or negative?,"Think about your first musical memory, the very first memory which involves music of any kind. What comes to your mind? Take a minute to think about it.",Under which of these categories would you put this memory?,Please describe this memory of lullabies:,How old were you?,How would you rate the vividness of this memory?,How would you rate the mood associated with the particular memory? ,Please select any other attributes that describe the mood related to the memory better.,Please describe this memory:,How would you rate the vividness of this memory?,How would you rate the mood associated with the particular memory? ,Please select any other attributes that describe the mood related to the memory better.,Please describe this memory:,How old were you?,How would you rate the vividness of this memory?,How would you rate the mood associated with the particular memory? ,Please select any other attributes that describe the mood related to the memory better.,Please desribe this memory:,How old were you?,How would you rate the vividness of this memory?,How would you rate the mood associated with the particular memory? ,Please select any other attributes that describe the mood related to the memory better.,Please describe this memory:,How old were you?,How would you rate the vividness of this memory?,How would you rate the mood associated with the particular memory? ,Please select any other attributes that describe the mood related to the memory better.,Please describe this memory:,How old were you?,How would you rate the vividness of this memory?,How would you rate the mood associated with the particular memory? ,Please select any other attributes that describe the mood related to the memory better.,Please describe this memory:,How old were you?,How would you rate the vividness of this memory?,How would you rate the mood associated with the particular memory? ,Please select any other attributes that describe the mood related to the memory better.
11/18/2021 12:09:21,Male,25,India,Yes,"radio / TV music, records / CDs, someone playing an instrument / singing",Yes,8-13 years old,"I didn't stop, I still play music or sing",No,5,1,"My mother loves to sing. She constantly keeps humming or singing random songs. So my first musical memories involve her singing in the background, some tunes from old Bollywood movies and Bengali folk songs.",Performance among relatives or friends (household),My mother sung it to me,Probably like 5-6,1,5,"Loved, Touched, Peaceful, Melancholic",My dad used to bring cassettes and CDs for music and we'd listen to those on this speaker,4,4,"Touched, Joyful, Relieved, Peaceful",Probably the soundtrack from Tom and Jerry.,7-8,1,5,"Loved, Hopeful, Joyful, Surprised",My mother singing to me,4-5,4,3,"Loved, Hopeful, Peaceful, Surprised, Melancholic",I went to this Ghulam ali concert as a kid but i don't remember any music. Just some visuals,9-10,4,2,"Uncomfortable, Tired",I figured out how to play the national anthem on a Hawaiian guitar on the high E string,8,5,5,"Hopeful, Joyful, Surprised",I learnt Hindustani vocals in some room as a kid. There'd be a teacher and about 6-7 people sitting in a circle singing stuff. I still remember the raag I learnt.,8,4,4,Joyful
11/18/2021 15:25:42,Male,21,India,Yes,"radio / TV music, records / CDs, someone playing an instrument / singing",Yes,8-13 years old,"I didn't stop, I still play music or sing",No,5,4,The very first musical experience I can remember is my mother singing lullabies to me every night before I slept. I still remember parts of the song and the calming feeling I got back then.,Lullaby,"My mom used to sing songs to me every night. Those songs were in Kannada or Telugu, which are my native languages. I remember that she would softly tap her hands along with the beats of the song, on my head, chest or back and I would instantly go to sleep no matter how my mood was. It was a very positive experience for me and I really cherish those memories. 
As I am attempting this survey, I realize how complex the songs actually were. The one I remember is in 6/8 and it is in a scale which is called the Malahari Raaga which is a kind of minor key feel and has a very interesting sound to it. It is pretty difficult to describe this in a western music context. But I think this might be interesting to mention for this survey.",I don't remember exactly but my mom had done this since I was a baby. But I think I was 2 or 3 years old in the earliest musical memory I recall.,4,5,"Loved, Hopeful, Touched, Joyful, Relieved, Peaceful","The songs from CDs that were played in my house were either religious hymns or some Kannada songs. The songs were played in my living room and they could be heard everywhere in my home. It was a pretty positive experience and I liked to tap my foot, or bob my head to the songs even though I didn't understand most of it.",4,4,"Loved, Joyful, Peaceful",The music was from the TV show Oswald. I used to watch that show all the time and sing those songs to myself. The songs were very short and simple to follow and understand and most of the songs were very happy songs.,3 or 4 years old,4,5,"Joyful, Peaceful","I think the very first 'performance' type of memory for me is when I played the major scale on the guitar for my family which is pretty hilarious for me to write out. I played every new thing like chords, simple songs, etc. I learned from my teacher back then, in front of my parents and sister and they were very happy. ",10,4,5,"Loved, Hopeful, Joyful, Relieved, Peaceful","My first proper performance in front of an audience was during a new year celebration with the people who lived in my locality. I played two songs solo on stage. I played either just the melody or just the chords for some sections of both the songs. In retrospect, it wasn't the best performance, but in the moment, I had an absolutely great time playing it and I was extremely happy afterwards",11,5,5,"Loved, Hopeful, Joyful, Relieved, Surprised, Stressed","We have a very basic small keyboard in my house and I used to play random stuff on it without much thought. The very first time I played that keyboard, I think I was most intrigued by the black and white keys and what they meant. I think my mom taught me about the C major key that day. But I was still confused by what the black keys are. And then I just messed around and played random stuff later. I also messed with these buttons on top which played simple 4/4 drum loops, or the metronome, or some simple kids songs like twinkle twinkle, jingle bells, etc. It was a very fun thing for me to mess around on that keyboard.",Maybe 6,3,4,"Joyful, Surprised","My very first memory of a music class for playing the guitar is being frustrated at how difficult it is to play a single note cleanly and how much I had to stretch my fingers. I went to my teacher, on the day after I bought the guitar. He taught me about all the basic things like holding the guitar, the hand position, holding the pick, etc. Then came the part where I had to play just single notes cleanly which was very difficult for me to do as a 10 year old. He told me that I shouldn't feel bad because I was just 10 years old, with small fingers, playing on a full sized guitar and he told me practice everyday. I spent the whole day afterwards trying to play single notes cleanly and it felt very gratifying later.",10,5,4,"Hopeful, Joyful, Relieved, Surprised, Infuriated"
11/18/2021 19:24:54,Female,24,Spain,No,records / CDs,No,,,No,3,5,TV Cartoons,TV cartoons / shows / movies,,,,,,"Anava en el camió del meu pare, amb ell, i posava un casset de Miquel del Roig",3,5,"Loved, Joyful",Mentre mirava Doraemon a les 8 del matí.,5,2,4,"Hopeful, Joyful, Peaceful",Cantar davant la família per Nadal,4,2,5,"Loved, Hopeful, Joyful",Concert de Beth ,No me'n recordo,2,5,"Hopeful, Joyful",Tocava la flauta a l'escola,,1,3,,Classe a l'escola,7,2,3,
11/18/2021 21:00:47,Male,22,India,No,radio / TV music,Yes,13-18 years old,"I didn't stop, I still play music or sing",No,5,5,Singing classes at my school where I used to think that I used to sing good.,A music class,I remember my aunt and mom singing me this song to bed,9-10,2,5,"Loved, Touched, Joyful, Peaceful, Melancholic",My cousin showing me this cool new song ,3,4,"Joyful, Surprised, Melancholic",Listening to the background of Tom and Jerry,8-9,3,5,"Joyful, Melancholic",Me playing a song made by my teacher in class,13,5,5,"Loved, Touched, Joyful, Surprised",I performed at a beach fest with my band,15,4,3,"Loved, Joyful, Surprised",Learning the first string of guitar,13,5,4,"Surprised, Stressed, Infuriated",My teacher explaining the basics of music theory,13,5,5,"Joyful, Surprised, Stressed"
11/18/2021 21:25:38,Male,23,Spain,No,,No,,,No,5,5,Children music from Kindergarden,Lullaby,I was either 1 or 2 years old and I was in kindergarden. It was nap time (3 o clock or so) and there was a cd player with lullabies,1 or 2 yo,2,4,"Relieved, Peaceful, Melancholic","At home, we used to play celtic music from a Cd",5,5,Joyful,Watching Doraemon at 8 am before going to kindergarden,3,5,5,Loved,My father playing the recorder and other instruments,3-4,2,5,"Peaceful, Surprised",In school we went to a vivaldi concert specially designed for children. Classical music with children spectacle,4,2,3,Touched,Playing the recorder in class as part of the music subject,7,4,2,"Uncomfortable, Stressed",Trying not to mess with the recorder at Music subject,7,5,2,"Uncomfortable, Stressed"
11/19/2021 5:52:29,Male,19,India,Yes,"radio / TV music, records / CDs",No,,,Yes,4,2,Mummy singing lullaby,Lullaby,"There’s nothing much to describe 
Mummy used to hum something that i very vaguely remember.",4-6 maybe,1,5,"Loved, Peaceful",Some Bobby Deol songs Dad used to listen.,2,3,,"Pokemon theme song 
Also Bichchoo theme song",6-8,3,4,Joyful,Brother used to sing Kailash Kher’s Allah ke Bande on every occasion.,7-10,5,4,Joyful,Michael Jackson’s Live performances on YouTube,9-10,5,5,"Joyful, Surprised","Never really played a real instrument until 2015-16 when my brother got his guitar.
",13-14,5,3,Surprised,Never took one.,Idk,5,3,
11/19/2021 10:37:35,Male,22,Greece,Yes,radio / TV music,Yes,8-13 years old,"I didn't stop, I still play music or sing",Yes,4,4,There was a music class back in elementary school where we were introduced to some musical instruments,A music class,,,,,,I made my own cd but i csnnot remember either the songs or when i did it,1,4,"Loved, Hopeful",The looney tunes theme song,6-10,4,5,"Hopeful, Joyful, Relieved",My dad playing the guitar,8-10,3,4,"Hopeful, Surprised",A multiple gyitar concert ,13,5,5,"Touched, Peaceful, Melancholic","It was summer,was really bored.Just grabbed a guitar and started ""playing""",12,4,4,"Lonely, Stressed, Rejected",,,,,
11/19/2021 10:38:53,Female,20,Greece,Yes,someone playing an instrument / singing,Yes,Less than 5 years old,8-13 years old,Yes,4,4,Me playing the piano,You playing an instrument,,,1,,,"I was listening to music on the radio, while my mum was driving me to school ",4,4,Joyful,"I was at my grandmother's house, and I was listening some random music from the TV while my grandmother and my mum were cooking",4-5,4,4,"Loved, Touched, Joyful",My brother was playing the piano ,4,4,5,"Loved, Touched, Peaceful",I was at a musical event with my mum and my brother ,6,3,3,Joyful,Me playing the piano with my brother ,4,3,4,"Loved, Touched, Joyful, Peaceful","I was in a music class with my brother, both of us were playing the piano ",4,3,4,"Loved, Touched, Joyful, Peaceful"
11/19/2021 10:55:02,Male,23,Spain,Yes,"radio / TV music, records / CDs",Yes,5-8 years old,"I didn't stop, I still play music or sing",No,5,5,Listening to Rolling Stones CD's at home in a sunday mornig.,Radio / CDs / records,My mom singing to be before going to bed.,Probably 4 I can't remember,2,4,"Loved, Hopeful, Joyful, Peaceful",Listening to Rolling Stones CD's on a sunday morning,4,5,"Hopeful, Peaceful",Listening to Doraemon's opening at my grandparents place,5,4,4,"Loved, Joyful, Peaceful, Melancholic",Some distant relatives playing musical instruments at Christmas,6-7,3,2,"Uncomfortable, Rejected",The 2008 Rolling stones corncert at Barcelona with my parents,10,4,5,"Loved, Joyful, Melancholic",Me performing at the schools recital,8,2,3,Stressed,Me playing at my early years of guitar training,8,2,3,Peaceful
11/19/2021 11:27:05,Female,20,Greece,Yes,radio / TV music,Yes,5-8 years old,8-13 years old,No,3,4,"I remember playing some old tapes (those we had before CDs), and being curious about them.",Radio / CDs / records,I remember listening to a tape which had many lullabies in it,5,4,4,Peaceful,"Radio reminds me of my granparents, because they were always listening music or emissions",5,5,"Loved, Joyful, Peaceful",I always watched them with my brother. It was funny and frustrating because he was controlling what we were going to watch.,5,5,5,"Loved, Joyful", Me singing a very popular Greek pop song all the time (Sorry by Vandi) ,4,5,4,Joyful,It was a Greek concert that I didn't like and I was complaining to my parents to leave,6,3,3,"Uncomfortable, Tired",It was amazing. I really loved it. ,6,3,3,Joyful,I don't really remember. It was nice singing with my classmates but we had a terrifying teacher.,7,2,3,Uncomfortable
11/19/2021 12:10:20,Female,20,Greece,Yes,"radio / TV music, records / CDs",No,,,Yes,5,4,"Cartoons, Games ",TV cartoons / shows / movies,I don't have any related memory ,,,,,During family events and trips ,4,4,"Loved, Touched, Joyful","They were an indispensable part of my childhood, especially the ones from Disney ",3,5,5,"Loved, Touched, Joyful, Melancholic",I don't have any related memory ,,,,,I've in concerts of some of the most successful Greek artists with family and friends ,18,5,5,"Loved, Hopeful, Joyful",I don't have any related memory ,,,,,"I had music class only during Primary and High School, for me it wasn't a happy experience ",6-15,3,1,"Relieved, Stressed, Sick"
11/19/2021 16:19:50,Male,21,Greece,Yes,"radio / TV music, records / CDs, someone playing an instrument / singing",Yes,5-8 years old,"I didn't stop, I still play music or sing",Yes,2,3,Me playing the guitar while trying to sing,You playing an instrument,I don't have one,,,,,Greek music playing the radio while me and my family were on vacation,3,4,"Loved, Hopeful, Relieved, Peaceful",Harry potter movies,10,5,4,"Surprised, Melancholic, Uncomfortable",My father playing the guitar and singing,12,5,5,"Hopeful, Touched, Joyful, Surprised",Playing the sax in a live concert with the philarmonica,13,5,5,"Hopeful, Touched, Peaceful, Uncomfortable",Me sitting in my living room and trying to play the first guitar song of a greek band,16,5,5,"Hopeful, Joyful, Peaceful, Lonely",,,,,
11/19/2021 16:22:15,Female,20,Greece,Yes,radio / TV music,No,,,No,4,4,My mom playing her favorite CDs. ,Radio / CDs / records,I can't really remember much but it was probably my mom singing with me catmrtoon songs,4-5,2,4,"Loved, Touched, Joyful",Discovering the first music artists I listened t9 with my best friend,3,4,Joyful,Watching Barbie movies with my sister,6-7,3,4,"Loved, Joyful","My sister and I ""performing"" A song for my parents",8-9,3,4,Joyful,My mom took me with her in an open concert of her favorite singer,Around 11,3,3,,,,,,,We were in high school and started a small choir,16,4,4,"Joyful, Melancholic"
11/19/2021 17:33:38,Male,22,India,Yes,records / CDs,Yes,5-8 years old,"I didn't stop, I still play music or sing",No,5,4,Music being played in a mall,Radio / CDs / records,Some custom Hindi lullaby created by my mom. I don't remember the wordings.,,3,5,"Loved, Touched, Peaceful",An English pop song being played by my cousins,2,4,"Joyful, Surprised",Music from Indian music channels. Used to play popular bollywood music.,,3,3,Joyful,Me performing the national anthem on a keyboard for my parents,5,4,5,"Loved, Hopeful, Joyful",Attended a concert in a local winter fair. Genre was Indian classical.,,3,5,"Hopeful, Surprised",Playing the keyboard of my cousin. I played random notes and they started teaching me the notes of the national anthem.,4-5,4,5,"Loved, Joyful, Stressed",Attending keyboard classes with a local teacher. Learning the C# major scale and Hindi notation.,6,5,5,"Hopeful, Joyful"
11/20/2021 18:11:42,Female,20,Greece,No,radio / TV music,No,,,No,4,4,Music from kids shows,TV cartoons / shows / movies,,,,,,Music played in the car,3,3,Peaceful,Music played in kids shows on TV,3-4,3,4,Joyful,,,,,,Local concert,16,4,4,Joyful,,,,,,"I did not like the music Teacher, she was too strict",7,4,2,Uncomfortable
11/21/2021 7:41:11,Male,22,India,Yes,"radio / TV music, records / CDs",Yes,5-8 years old,"I didn't stop, I still play music or sing",Yes,5,1,Mom singing to me,Lullaby,"Some sweet nothings, I think in Tamil, being whispered into my ear by a woman who was for some reason out to protect me, but I was too scared of being alone, too scared of being abandoned, so now that I think of them, they haunt me. Life finds a way to leave you utterly alone.","No clue, around 2 or 3 maybe?",4,2,"Lonely, Melancholic, Stressed, Rejected","Energising, rebellious, like a grand fuck you to everything (apologies for the profanity).",4,4,"Touched, Joyful, Relieved, Surprised",I'd have to say tom and jerry ,4-5 Idk,4,4,"Touched, Joyful, Relieved, Peaceful",Just my mom singing at a party,Maybe 7-8 or younger Idk,3,3,"Lonely, Melancholic, Rejected",The army band I guess,Again 8 or 9,4,4,"Hopeful, Touched, Joyful, Relieved",I tried repeating bollywood melodies on the keyboard ,8 maybe,4,5,"Hopeful, Touched, Joyful, Relieved, Peaceful",Being in a keyboard class soon after I started playing,Around 9,4,2,"Melancholic, Uncomfortable, Stressed, Infuriated, Rejected"
11/21/2021 17:44:20,Male,20,Greece,Yes,"radio / TV music, records / CDs",Yes,5-8 years old,5-8 years old,No,3,5,In house playing with my brother,Radio / CDs / records,My mother singing to us,4,4,5,"Loved, Hopeful, Touched, Joyful, Relieved, Peaceful",Playing with my brother,4,5,"Loved, Joyful",Watching Dora the explorer,5,1,3,Joyful,A friend from school playing the piano in their house,8,3,5,"Joyful, Surprised",I went to listen to Gregorian the dark side of the chant with my mother,10,4,5,"Loved, Touched, Joyful, Peaceful","A friend of mine was trying to teach me playing ""happy birthday"" on the piano",8,4,5,"Loved, Joyful, Surprised",Singing a song which I don't remember in order to learn about the music and cultures of different people,7,1,4,Stressed
